City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Mahebourg,-20.4081,57.7,75.2,69,20,4.61,MU,2021-01-08 00:42:33
68,Ust-Kuyga,70.0167,135.6,-15.52,87,100,5.82,RU,2021-01-08 00:42:34
69,Tasiilaq,65.6145,-37.6368,24.8,63,100,5.75,GL,2021-01-08 00:42:34
70,Yeppoon,-23.1333,150.7333,82.4,61,75,12.66,AU,2021-01-08 00:42:34
71,Florence,43.7667,11.25,42.01,93,0,2.3,IT,2021-01-08 00:42:34
72,Pandamatenga,-18.5278,25.627,69.84,93,100,7.14,BW,2021-01-08 00:42:34
73,Pevek,69.7008,170.3133,-9.83,91,100,2.93,RU,2021-01-08 00:42:35
74,Chapais,49.7834,-74.8492,12.2,92,90,10.36,CA,2021-01-08 00:42:35
75,Ahipara,-35.1667,173.1667,70.32,69,38,7.31,NZ,2021-01-08 00:42:35
76,Nanortalik,60.1432,-45.2371,37.04,95,100,7.36,GL,2021-01-08 00:42:35
77,Mgandu,-5.95,34.1333,61.48,95,0,2.77,TZ,2021-01-08 00:42:36
78,Bambous Virieux,-20.3428,57.7575,75.2,69,20,4.61,MU,2021-01-08 00:42:36
79,Nome,64.5011,-165.4064,5.0,72,90,8.05,US,2021-01-08 00:41:10
80,Cherskiy,68.75,161.3,-14.75,89,99,1.03,RU,2021-01-08 00:42:37
81,Dingle,10.9995,122.6711,79.05,88,100,12.12,PH,2021-01-08 00:42:37
82,Sarangani,5.4033,125.4636,80.96,73,100,3.71,PH,2021-01-08 00:42:37
83,Lasa,46.6166,10.7002,19.99,78,0,5.75,IT,2021-01-08 00:42:37
84,Padang,-0.9492,100.3543,81.52,70,73,3.94,ID,2021-01-08 00:42:37
85,Port Alfred,-33.5906,26.891,66.99,92,17,4.16,ZA,2021-01-08 00:42:38
86,Khatanga,71.9667,102.5,-0.02,93,100,15.66,RU,2021-01-08 00:42:38
87,Ajaccio,42.0,8.9167,42.8,87,90,2.3,FR,2021-01-08 00:42:38
88,Severo-Kurilsk,50.6789,156.125,22.86,85,100,9.82,RU,2021-01-08 00:42:38
89,Port Hedland,-20.3167,118.5667,87.8,62,100,6.91,AU,2021-01-08 00:42:39
90,Chernyshevskiy,63.0128,112.4714,7.25,95,100,9.62,RU,2021-01-08 00:42:39
91,Port Elizabeth,-33.918,25.5701,69.8,88,40,18.41,ZA,2021-01-08 00:42:39
92,Provideniya,64.3833,-173.3,-7.29,82,5,3.87,RU,2021-01-08 00:42:39
93,Cidreira,-30.1811,-50.2056,75.7,88,100,7.67,BR,2021-01-08 00:42:39
94,Tuatapere,-46.1333,167.6833,62.01,72,80,4.0,NZ,2021-01-08 00:42:40
95,Cape Town,-33.9258,18.4232,68.0,77,0,16.11,ZA,2021-01-08 00:38:15
96,Saint-Pierre,-21.3393,55.4781,73.4,73,0,4.61,RE,2021-01-08 00:42:40
97,Obidos,-1.9175,-55.5181,78.67,72,14,2.8,BR,2021-01-08 00:42:40
98,Hasaki,35.7333,140.8333,37.0,44,20,9.22,JP,2021-01-08 00:39:21
99,Miri,4.4148,114.0089,77.0,94,40,2.3,MY,2021-01-08 00:42:41
100,Dawei,14.0833,98.2,76.44,68,28,5.64,MM,2021-01-08 00:42:41
101,Avarua,-21.2078,-159.775,86.0,70,20,12.66,CK,2021-01-08 00:42:41
102,Yellowknife,62.456,-114.3525,1.0,85,75,3.44,CA,2021-01-08 00:41:24
103,Mount Gambier,-37.8333,140.7667,75.2,38,0,12.66,AU,2021-01-08 00:42:42
104,Ribeira Grande,38.5167,-28.7,57.38,67,11,20.36,PT,2021-01-08 00:42:42
105,Vardo,70.3705,31.1107,23.14,95,29,24.52,NO,2021-01-08 00:42:42
106,Baiao,-2.7906,-49.6717,73.35,98,55,3.02,BR,2021-01-08 00:42:42
107,Vaini,-21.2,-175.2,84.2,84,75,11.5,TO,2021-01-08 00:42:42
108,Mirador,-6.3708,-44.3631,75.63,80,0,2.51,BR,2021-01-08 00:42:43
109,Mar Del Plata,-38.0023,-57.5575,64.4,88,90,11.5,AR,2021-01-08 00:42:43
110,Huaicheng,23.9051,112.1931,37.63,71,94,5.01,CN,2021-01-08 00:42:43
111,Yulara,-25.2406,130.9889,84.2,16,0,16.11,AU,2021-01-08 00:42:43
112,Touros,-5.1989,-35.4608,80.6,74,40,13.8,BR,2021-01-08 00:42:43
113,Mount Pleasant,32.7941,-79.8626,53.6,87,75,5.75,US,2021-01-08 00:38:05
114,Bacsay,15.65,120.3333,78.8,73,75,4.61,PH,2021-01-08 00:42:44
115,Svetlyy,54.675,20.1347,33.8,93,90,6.71,RU,2021-01-08 00:42:44
116,Akdepe,42.0551,59.3788,8.6,66,0,9.22,TM,2021-01-08 00:42:44
117,Chokurdakh,70.6333,147.9167,-12.64,90,92,6.76,RU,2021-01-08 00:42:45
118,Nha Trang,12.25,109.1833,77.0,78,20,18.41,VN,2021-01-08 00:42:45
119,Hermanus,-34.4187,19.2345,68.0,76,45,1.01,ZA,2021-01-08 00:42:45
120,Contamana,-7.3333,-75.0167,71.04,96,89,1.79,PE,2021-01-08 00:42:46
121,Jeremoabo,-10.075,-38.4808,72.39,86,49,10.56,BR,2021-01-08 00:42:46
122,Butaritari,3.0707,172.7902,81.63,82,45,19.89,KI,2021-01-08 00:42:46
