City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Puerto Ayacucho,VE,78.01,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
590,Kirakira,SB,86.95,light rain,-10.4544,161.9205,SanBiz Lodge
592,Takoradi,GH,78.71,clear sky,4.8845,-1.7554,Raybow International Hotel
593,Mayumba,GA,78.04,light rain,-3.432,10.6554,LIKWALE LODGE
597,Redcliffe,AU,82.0,scattered clouds,-27.2307,153.0973,Scarborough Beach Resort
602,Auki,SB,88.56,light rain,-8.7676,160.7034,Auki Motel
606,Lafiagi,NG,75.36,clear sky,8.8667,5.4167,Bus group international
607,Colac,AU,90.0,overcast clouds,-38.3333,143.5833,Otway Gate Motel
610,Black River,JM,78.8,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
622,Voh,NC,89.02,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
623,Nicoya,CR,78.8,broken clouds,10.1483,-85.45200000000001,Guayacan Real
624,Lufilufi,WS,87.8,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
640,Santa Cruz,BO,86.0,scattered clouds,-17.8,-63.1667,Hotel Cortez
641,Ilheus,BR,80.6,scattered clouds,-14.7889,-39.0494,Pontal Praia Hotel
646,Cartagena,CO,80.6,broken clouds,10.3997,-75.5144,Costa Del Sol
647,Tutoia,BR,80.65,scattered clouds,-2.7619,-42.2744,Pousada Guará's
651,Wewak,PG,86.76,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
656,Kapoeta,SS,78.44,clear sky,4.7717,33.5903,Eastgate Hotel
664,Rantepao,ID,78.49,light rain,-2.9701,119.8978,Hotel Luta Resort
666,Parkes,AU,84.0,clear sky,-33.1333,148.1833,Station Motel
676,Soyo,AO,77.32,overcast clouds,-6.1349,12.3689,Hotel Mpampa
677,Bangkalan,ID,77.0,haze,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
680,Kiama,AU,82.0,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
681,Trairi,BR,78.62,broken clouds,-3.2778,-39.2689,janelas do mar
683,Bourail,NC,85.42,overcast clouds,-21.5667,165.4833,Motel Allamanda
687,Navrongo,GH,75.25,clear sky,10.8956,-1.0921,Azakka Hotel
690,Puerto Rico,AR,79.45,light rain,-26.796,-55.023999999999994,Hotel Cabañas del Prado
695,Morant Bay,JM,82.4,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
697,Meulaboh,ID,76.48,overcast clouds,4.1363,96.1285,Kost Pria
