City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Matagami,CA,2021-01-11 00:30:53,49.7502,-77.6328,14.0,92,90,5.75,overcast clouds
53,Yellowknife,CA,2021-01-11 00:30:10,62.456,-114.3525,5.0,92,75,8.05,broken clouds
54,Mahebourg,MU,2021-01-11 00:30:54,-20.4081,57.7,78.8,94,75,3.44,light rain
55,Grindavik,IS,2021-01-11 00:30:54,63.8424,-22.4338,19.4,68,0,4.61,clear sky
56,Vila Velha,BR,2021-01-11 00:30:54,-20.3297,-40.2925,79.0,83,75,11.5,broken clouds
57,Bozdar,PK,2021-01-11 00:30:54,27.1828,68.636,42.8,87,0,2.08,mist
58,Severo-Kurilsk,RU,2021-01-11 00:30:55,50.6789,156.125,20.77,89,97,19.8,overcast clouds
59,Busselton,AU,2021-01-11 00:30:55,-33.65,115.3333,64.99,62,4,1.01,clear sky
60,Parana,AR,2021-01-11 00:29:36,-31.732,-60.5238,87.8,51,90,21.85,overcast clouds
61,Alofi,NU,2021-01-11 00:30:56,-19.0595,-169.9187,86.0,66,75,12.66,broken clouds
62,Hithadhoo,MV,2021-01-11 00:30:56,-0.6,73.0833,80.56,77,100,14.74,overcast clouds
63,Qaanaaq,GL,2021-01-11 00:30:56,77.484,-69.3632,-0.09,74,0,4.72,clear sky
64,Lorengau,PG,2021-01-11 00:30:56,-2.0226,147.2712,86.31,62,24,3.62,few clouds
65,Saint-Philippe,RE,2021-01-11 00:30:56,-21.3585,55.7679,77.0,88,75,3.44,light rain
66,Kabale,UG,2021-01-11 00:30:57,-1.2486,29.9899,58.73,87,100,2.04,overcast clouds
67,Ransang,PH,2021-01-11 00:30:57,8.9603,117.5828,82.13,74,94,9.57,overcast clouds
68,Saeby,DK,2021-01-11 00:30:57,57.3319,10.5225,33.01,93,75,10.36,broken clouds
69,Saint-Augustin,CA,2021-01-11 00:30:57,51.226,-58.6502,17.58,84,0,14.18,clear sky
70,Westport,US,2021-01-11 00:30:58,41.1415,-73.3579,33.8,47,1,6.91,clear sky
71,Coquimbo,CL,2021-01-11 00:27:32,-29.9533,-71.3436,60.8,82,0,9.22,clear sky
72,Miguel Hidalgo,MX,2021-01-11 00:30:58,19.4225,-99.2028,64.4,45,75,11.5,broken clouds
73,Avarua,CK,2021-01-11 00:28:45,-21.2078,-159.775,86.0,66,87,12.66,overcast clouds
74,Duluth,US,2021-01-11 00:30:47,46.7833,-92.1066,25.0,86,90,10.36,overcast clouds
75,Mar Del Plata,AR,2021-01-11 00:30:25,-38.0023,-57.5575,71.01,88,90,16.11,overcast clouds
76,Butaritari,KI,2021-01-11 00:30:59,3.0707,172.7902,80.94,82,52,15.88,light rain
